code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2016_19,16930,,,1,1,0,1,0,7,,,,3,4,1,5,3,1,,,4,0,0,,8,,4,,5,,1,1,,2,,2,,2,,0,8,1,,2,9,0,9,,2,,0,0,0,2,
2016_18,16923,,,3,0,0,1,3,11,0,0,14,5,1,3,12,3,2,5,0,9,1,3,1,28,0,10,3,7,0,2,4,,1,0,2,,2,5,2,13,3,3,0,4,0,15,0,1,5,0,1,4,0,0
2016_17,16916,,4,5,0,0,0,1,5,9,0,25,5,4,2,4,6,1,4,1,11,1,5,2,42,0,16,0,7,2,3,13,,0,6,2,,0,7,1,12,2,5,3,3,0,13,1,6,3,0,5,1,0,0
2016_16,16909,,4,3,1,0,0,1,18,3,0,20,3,8,8,1,2,6,5,4,4,5,3,1,41,0,13,2,6,1,1,18,,1,11,1,,0,9,3,17,2,1,1,1,0,19,2,3,3,0,5,1,0,1
2016_15,16902,,5,4,1,0,0,5,17,6,0,14,9,6,12,6,5,2,2,5,7,3,9,0,69,0,10,7,8,2,5,9,1,0,12,2,4,1,7,2,11,0,0,4,9,1,16,4,5,8,0,2,4,4,1
2016_14,16895,3,6,6,0,0,0,0,17,6,,14,17,5,21,10,1,2,7,6,6,1,3,1,35,2,23,1,10,0,1,6,4,0,8,2,8,5,13,2,16,1,2,3,5,2,21,4,1,2,1,3,2,1,1
2016_13,16888,1,0,3,0,0,0,6,10,1,,12,3,3,10,6,1,3,0,5,8,0,2,1,10,0,9,2,3,1,2,4,0,1,0,3,2,3,2,1,23,2,2,4,11,0,12,6,1,0,1,3,3,0,0
2016_12,16881,0,,11,2,0,0,1,13,10,,0,5,5,8,18,4,2,10,4,10,1,0,2,14,0,13,6,7,0,3,12,2,1,2,4,4,1,20,3,31,4,1,0,7,0,17,5,2,4,0,6,3,0,0
2016_11,16874,1,9,5,0,0,0,3,9,8,3,7,8,2,5,15,5,0,1,3,14,1,1,0,26,0,10,2,5,0,3,16,4,0,2,5,,0,18,2,14,0,1,0,4,0,19,7,1,0,0,5,3,0,1
2016_10,16867,2,1,4,2,0,1,8,10,10,0,9,9,4,14,9,5,2,6,4,11,3,0,1,15,0,11,3,5,0,5,14,4,2,2,2,,3,20,1,6,5,0,1,1,1,9,5,2,0,0,11,1,0,1
2016_09,16860,0,0,10,2,0,0,3,11,15,1,6,2,2,14,20,3,3,10,0,11,1,1,2,18,0,11,6,6,1,3,20,11,3,1,,,4,9,2,14,3,2,1,4,0,7,7,0,0,4,8,0,0,0
2016_08,16853,4,5,6,0,0,0,5,26,16,6,20,7,7,14,20,3,0,8,7,16,4,2,3,15,0,13,3,5,5,1,4,6,2,1,2,,7,10,3,18,3,4,2,1,1,9,8,0,1,0,4,3,2,2
2016_07,16846,3,0,6,0,0,0,5,10,9,1,18,5,5,5,6,4,3,4,0,16,1,3,2,18,0,8,1,0,6,2,19,7,0,6,6,,8,10,2,26,1,2,3,10,0,7,8,2,3,1,6,2,1,0
2016_06,16839,3,1,4,1,0,0,3,16,12,0,15,2,5,12,24,3,1,5,0,13,1,0,1,30,0,8,10,4,1,3,11,1,0,5,3,10,10,8,0,26,2,4,2,8,0,6,7,1,0,2,12,3,0,0
2016_05,16832,6,2,3,1,0,0,2,12,16,1,32,8,4,13,38,3,3,7,3,19,2,4,5,32,0,18,4,7,0,1,10,2,0,5,3,11,11,10,3,30,0,1,4,10,0,10,7,3,3,0,5,0,2,0
2016_04,16825,8,5,5,3,0,0,0,12,18,0,23,11,6,8,33,1,0,13,4,11,0,4,1,46,0,13,3,9,0,1,12,2,1,8,1,14,9,9,1,41,3,4,3,25,0,12,9,0,3,3,6,2,3,0
2016_03,16818,7,8,6,0,1,2,3,25,18,2,19,22,7,12,49,1,2,20,4,18,2,6,5,44,4,23,3,4,0,4,12,6,2,2,9,18,11,7,1,26,3,3,4,11,2,12,8,0,4,8,7,2,0,0
2016_02,16811,12,,8,1,0,0,2,20,10,4,39,8,5,19,49,4,5,12,4,17,4,5,2,35,0,14,3,4,0,2,16,6,1,0,0,,6,18,2,36,2,0,1,17,0,16,9,1,2,7,17,4,0,1
2016_01,16804,7,5,16,7,0,0,3,20,18,3,28,18,7,6,65,3,4,13,1,24,0,8,1,32,0,11,7,7,1,4,11,11,2,3,15,,8,16,3,45,0,3,1,15,2,17,9,2,5,4,15,5,0,3
2015_53,16797,,0,7,,0,0,0,13,11,1,26,6,9,8,28,2,3,10,1,17,0,2,2,18,3,4,2,5,1,1,21,,1,2,1,,2,8,6,24,6,0,6,10,0,18,2,4,0,7,4,5,14,0
2015_52,16790,,0,9,2,0,0,1,10,5,4,19,7,4,9,24,3,6,5,3,13,0,3,4,17,0,9,2,3,3,5,13,,3,1,3,,2,11,0,12,4,5,2,11,3,6,3,5,5,8,11,3,0,2
2015_51,16783,,0,18,0,0,0,1,32,9,7,34,12,8,14,26,6,12,9,0,5,5,2,6,52,3,3,3,7,0,5,14,,0,6,5,19,4,13,3,34,2,0,10,15,2,19,7,1,1,8,5,6,6,3
2015_50,16776,,6,12,2,0,0,2,26,12,3,13,16,5,14,31,10,13,9,2,7,2,0,3,37,4,10,1,15,3,3,12,,3,4,19,,2,5,4,28,2,1,0,8,0,26,4,8,3,6,16,3,0,0
2015_49,16769,3,1,7,2,0,0,6,22,10,7,22,12,7,17,13,11,5,0,2,3,5,3,5,31,2,11,2,8,0,0,5,,7,1,15,,4,17,8,29,1,0,3,15,1,23,2,6,0,16,1,3,0,1
2015_48,16762,1,0,9,1,0,0,1,32,9,1,24,8,6,5,23,6,6,15,2,0,4,7,6,30,4,12,2,9,3,1,8,,4,0,4,,3,17,0,37,4,2,3,27,0,23,4,7,4,2,7,3,,3
2015_47,16755,3,1,7,,0,2,2,22,7,6,0,20,3,10,22,13,3,6,0,2,9,3,4,24,5,4,6,18,1,1,10,,4,6,15,18,9,10,3,25,3,1,7,14,2,18,5,3,12,7,13,4,0,1
2015_46,16748,5,1,12,1,0,1,0,29,7,4,0,29,2,14,24,1,5,11,4,7,5,5,2,24,2,10,10,5,2,4,9,,2,9,13,16,8,16,2,35,4,2,10,9,2,19,2,6,10,1,8,6,1,6
2015_45,16741,3,2,4,1,0,0,0,13,5,2,0,15,1,10,14,4,2,6,2,11,3,6,2,25,3,7,0,5,2,2,3,3,2,4,22,28,8,8,3,17,8,0,3,13,2,20,1,4,4,2,10,3,0,4
2015_44,16734,5,2,5,1,0,0,0,25,11,2,5,18,1,16,23,6,9,10,1,21,4,2,1,22,1,8,1,4,4,8,0,8,4,8,5,20,8,2,6,22,3,1,2,15,1,18,1,2,3,0,3,5,7,6
2015_43,16727,3,0,13,1,0,0,4,12,13,2,18,22,8,12,16,5,4,12,3,7,2,2,3,27,4,14,5,7,4,1,3,5,1,2,7,26,2,4,2,30,4,5,,10,3,17,5,4,6,1,9,8,3,2
