"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2017_03";"2017-01-16";1;0;4;3;1;0;2;3;12;0;3;3;4;3;9;0;2;12;0;14;0;2;6;3;1;12;8;13;5;6;2;2;0;17;5;4;4;26;4;9;3;0;6;2;3;9;11;0;3;1;2;2;0;0
"2017_02";"2017-01-09";1;3;2;4;1;0;2;6;26;5;0;13;7;9;3;0;2;6;1;0;0;4;1;32;1;2;6;12;5;0;4;3;0;16;12;10;4;26;0;5;3;0;0;5;6;7;7;0;1;1;0;3;1;0
"2017_01";"2017-01-02";2;7;6;4;1;0;2;7;3;1;1;10;7;9;22;2;1;19;2;5;0;2;4;0;1;0;4;12;2;2;8;3;1;11;16;10;5;6;2;7;0;0;8;1;3;8;13;1;2;1;1;1;1;0
"2016_52";"2016-12-26";1;4;6;1;1;0;0;10;10;3;1;6;6;6;13;0;2;2;0;6;0;3;8;31;0;7;7;2;3;1;3;8;1;15;14;0;11;12;4;1;3;1;0;8;0;1;9;1;1;2;7;2;0;0
"2016_51";"2016-12-19";2;5;6;0;0;0;3;0;27;0;4;9;4;6;0;2;3;18;1;8;0;2;13;21;1;3;6;0;1;0;9;2;1;8;16;4;10;15;1;2;0;0;2;10;1;9;8;0;3;2;5;3;0;1
"2016_50";"2016-12-12";1;5;0;0;2;0;1;9;25;1;2;2;5;6;27;1;2;13;1;14;0;0;12;26;1;11;2;12;2;3;8;2;0;18;3;8;4;3;1;6;3;1;4;9;1;7;5;0;4;2;4;4;1;1
"2016_49";"2016-12-05";0;7;8;5;0;0;1;2;15;0;0;9;3;9;18;1;2;2;1;14;0;1;11;32;2;5;7;4;1;2;5;9;1;17;0;9;12;25;5;1;3;1;0;9;2;8;12;0;1;0;7;3;2;0
"2016_48";"2016-11-28";2;6;1;2;1;0;3;8;21;5;2;2;3;5;14;0;3;10;2;5;0;0;12;16;2;2;6;14;2;4;7;7;0;10;17;6;2;3;4;9;3;3;6;9;7;4;0;0;1;0;4;4;2;0
"2016_47";"2016-11-21";2;3;8;2;1;0;1;11;19;4;4;13;4;7;19;0;0;1;3;10;0;6;2;33;1;4;7;11;1;4;0;6;0;4;10;3;4;34;4;1;2;2;0;11;0;5;11;1;2;0;4;0;0;0
"2016_46";"2016-11-14";1;5;2;3;2;0;2;5;33;3;3;0;6;5;10;1;3;7;2;9;0;4;10;15;2;1;5;10;0;1;8;0;0;12;2;9;4;16;0;5;0;0;7;13;5;2;4;1;2;0;0;4;1;0
"2016_45";"2016-11-07";0;3;3;5;2;0;3;2;19;0;0;4;0;2;17;0;0;7;3;9;0;3;4;10;2;6;2;2;1;4;8;7;0;2;15;7;7;4;4;1;1;3;8;7;0;1;4;1;4;0;3;1;2;0
"2016_44";"2016-10-31";2;4;7;0;0;0;3;6;25;0;0;4;5;2;11;1;1;18;3;3;0;3;10;11;2;11;4;5;0;4;8;7;0;16;16;1;2;22;5;5;1;4;5;0;6;3;10;0;3;1;6;3;2;1
