"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"do";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"sm";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2017_03";"2017-01-16";0;30;3;4;0;2;10;8;56;0;5;19;0;1;2;0;0;15;6;6;2;1;8;74;1;17;3;4;6;0;18;2;0;34;8;20;43;8;0;1;1;8;3;29;3;1;53;1;0;20;2;0;0;1
"2017_02";"2017-01-09";0;29;3;21;1;2;3;3;105;0;3;23;2;1;4;1;0;10;3;29;1;0;3;17;0;19;2;50;6;2;67;1;0;53;11;4;12;16;2;7;1;4;2;26;6;15;32;2;1;5;2;1;1;0
"2017_01";"2017-01-02";1;28;2;19;1;1;8;2;26;0;2;30;0;0;1;1;1;15;7;37;1;2;2;23;1;7;8;43;0;1;40;2;2;22;0;1;17;4;3;5;0;7;2;24;7;7;66;0;0;0;2;0;2;1
"2016_52";"2016-12-26";1;32;3;15;1;0;5;3;96;1;3;12;1;2;4;0;2;12;7;70;0;1;1;36;1;3;7;2;6;3;26;0;1;47;0;7;3;7;1;20;0;2;5;13;3;0;64;1;1;0;2;1;2;0
"2016_51";"2016-12-19";1;2;2;30;2;2;2;7;62;1;5;8;4;0;3;1;0;6;9;60;5;5;9;65;0;12;6;15;9;2;9;0;1;3;13;23;15;9;3;19;2;3;3;9;6;3;31;2;0;17;1;0;2;0
"2016_50";"2016-12-12";1;31;0;24;1;0;11;3;105;4;0;13;4;0;4;0;1;14;9;69;3;0;4;56;1;4;1;22;1;3;66;1;2;52;13;17;36;14;1;18;1;4;2;15;1;5;65;2;0;11;0;2;1;0
"2016_49";"2016-12-05";0;28;2;4;1;0;9;4;30;2;2;35;2;0;2;1;1;15;3;22;0;3;9;1;0;7;6;55;6;1;93;2;2;59;6;5;40;19;3;4;0;5;0;8;4;13;43;3;1;0;2;0;2;0
"2016_48";"2016-11-28";1;26;1;5;1;1;11;1;59;2;1;32;0;1;1;0;2;10;0;23;2;1;1;74;0;25;1;18;3;2;7;3;0;31;12;10;3;22;1;15;1;7;1;8;4;5;38;3;0;17;1;1;1;0
"2016_47";"2016-11-21";0;29;3;25;0;2;12;0;46;2;3;31;2;0;2;0;1;14;1;49;5;3;8;45;1;1;2;28;2;0;92;0;0;24;6;24;35;12;0;18;1;0;4;25;2;15;6;3;1;6;1;1;0;0
"2016_46";"2016-11-14";1;12;1;23;1;2;8;5;84;2;4;20;3;1;2;1;2;6;3;23;5;1;5;67;1;21;1;55;9;3;12;0;1;6;4;27;27;13;3;5;2;8;0;23;8;12;68;1;1;3;1;2;2;1
"2016_45";"2016-11-07";0;21;1;11;0;0;1;8;46;2;1;16;3;1;2;1;0;2;5;16;6;1;10;21;0;11;4;36;9;1;103;1;0;55;2;5;48;19;0;20;0;7;4;22;8;5;11;1;0;2;2;1;0;0
"2016_44";"2016-10-31";0;2;2;28;0;1;2;5;105;1;3;37;1;2;0;0;0;12;7;48;4;0;5;48;1;3;6;1;7;0;83;0;0;1;7;4;32;16;3;2;0;4;5;10;2;4;7;4;0;22;1;0;2;1
"2016_43";"2016-10-24";0;7;1;22;2;1;9;0;94;0;5;29;3;0;2;1;1;4;0;42;4;5;3;74;1;23;7;54;2;0;52;4;0;19;3;8;43;10;0;8;2;0;4;11;2;9;40;4;1;18;1;2;0;1
"2016_42";"2016-10-17";0;28;0;15;2;2;6;2;8;2;3;16;0;2;2;0;1;4;3;26;5;1;5;55;0;14;2;28;7;2;99;0;2;51;3;23;41;6;1;24;2;3;5;24;4;5;36;3;1;18;0;1;2;1
