code,deb_sem,mae
2017_07,2017-02-13,38
2017_06,2017-02-06,35
2017_05,2017-01-29,40
2017_04,2017-01-23,41
2017_03,2017-01-16,4
2017_02,2017-01-09,5
2017_01,2017-01-02,8
2016_52,2016-12-26,2
2016_51,2016-12-19,8
2016_50,2016-12-12,10
2016_49,2016-12-05,9
2016_48,2016-11-28,41
2016_47,2016-11-21,23
2016_46,2016-11-14,15
2016_45,2016-11-07,12
2016_44,2016-10-31,10
2016_43,2016-10-24,2
2016_42,2016-10-17,2
2016_41,2016-10-10,5
2016_40,2016-10-03,15
2016_39,2016-09-26,20
2016_38,2016-09-19,1
2016_37,2016-09-12,0
2016_36,2016-09-05,12
2016_35,2016-08-29,3
2016_34,2016-08-22,8
2016_33,2016-08-15,8
2016_32,2016-08-08,9
2016_31,2016-08-01,7
2016_30,2016-07-25,3
2016_29,2016-07-18,1
2016_28,2016-07-11,15
2016_27,2016-07-04,12
2016_26,2016-06-27,12
2016_25,2016-06-20,15
2016_24,2016-06-13,13
2016_23,2016-06-06,12
2016_22,2016-05-30,16
2016_21,2016-05-23,29
2016_20,2016-05-16,17
2016_19,2016-05-09,19
2016_18,2016-05-02,25
2016_17,2016-04-25,28
2016_16,2016-04-18,18
2016_15,2016-04-11,31
2016_14,2016-04-04,34
2016_13,2016-03-28,20
2016_12,2016-03-21,24
2016_11,2016-03-14,15
2016_10,2016-03-07,19
2016_09,2016-02-29,19
2016_08,2016-02-22,30
2016_07,2016-02-15,32
2016_06,2016-02-08,30
2016_05,2016-02-01,40
2016_04,2016-01-25,40
2016_03,2016-01-18,84
2016_02,2016-01-11,41
2016_01,2016-01-04,28
2015_53,2015-12-28,13
2015_52,2015-12-21,15
2015_51,2015-12-14,16
2015_50,2015-12-07,17
2015_49,2015-11-30,32
2015_48,2015-11-23,51
2015_47,2015-11-16,55
2015_46,2015-11-09,43
2015_45,2015-11-02,38
2015_44,2015-10-26,0
2015_43,2015-10-19,0
2015_42,2015-10-12,21
2015_41,2015-10-05,51
2015_40,2015-09-28,40
2015_39,2015-09-21,44
2015_38,2015-09-14,28
2015_37,2015-09-07,40
2015_36,2015-08-31,9
2015_35,2015-08-24,31
2015_34,2015-08-17,40
2015_33,2015-08-10,43
2015_32,2015-08-03,34
2015_31,2015-07-27,54
