code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2016_23,16958,,2,,,,0,,12,4,,,,,4,2,1,,,,9,1,,0,,,5,,,2,1,11,,2,,,,5,10,0,1,1,,0,10,0,2,,0,,,2,1,,0
2016_22,16951,,0,11,10,5,0,3,29,30,2,0,7,5,12,14,1,0,21,0,12,1,1,9,63,0,9,11,26,18,6,36,,1,2,5,35,33,50,2,12,1,5,1,33,1,11,13,1,,1,12,5,0,0
2016_21,16944,,0,8,8,4,0,5,37,29,5,0,17,8,8,14,1,0,17,4,41,1,1,20,112,2,10,10,16,5,1,67,,4,6,8,16,30,37,8,8,6,3,1,18,2,15,28,0,,15,15,4,1,0
2016_20,16937,,2,8,6,6,0,2,19,12,9,0,14,6,3,8,1,0,10,9,25,0,0,16,90,5,6,8,23,0,3,65,,0,0,13,27,27,20,3,11,1,0,4,31,0,7,15,0,,19,7,0,1,0
2016_19,16930,,0,13,5,1,0,2,27,40,3,1,13,7,11,14,1,0,2,15,38,1,0,16,106,3,13,14,30,5,2,49,,3,0,18,24,28,14,2,9,4,3,5,51,1,20,17,0,,14,3,6,2,0
2016_18,16923,,,15,4,1,0,3,40,33,1,0,14,7,9,10,2,1,16,5,56,0,3,16,96,4,4,7,22,7,2,37,,6,0,7,23,19,33,5,13,8,7,2,19,5,13,17,1,0,22,18,10,1,0
2016_17,16916,45,1,9,9,5,2,8,48,59,3,4,22,21,7,4,5,0,10,10,69,0,1,24,181,7,17,12,45,9,2,50,,10,0,22,8,7,65,6,7,7,7,0,31,2,27,27,0,0,16,13,10,5,0
2016_16,16909,3,5,12,7,2,2,1,55,66,1,1,28,10,15,6,3,1,31,12,129,4,4,17,128,17,8,10,29,2,1,76,,2,3,19,31,28,63,7,18,9,2,0,46,3,30,32,0,0,23,29,4,0,0
2016_15,16902,20,0,3,13,8,2,3,48,104,0,0,19,14,22,5,7,2,15,8,127,2,6,12,213,4,10,17,43,3,0,87,7,5,5,13,14,24,37,8,18,11,9,2,38,5,21,20,0,0,25,22,8,2,4
2016_14,16895,13,2,5,7,7,1,4,70,81,,0,31,10,18,34,1,8,25,2,92,0,3,11,212,6,25,6,21,7,0,113,9,13,7,28,37,27,50,7,20,7,11,4,27,2,35,21,0,0,12,31,9,1,3
2016_13,16888,6,1,13,5,1,0,13,39,6,,0,11,16,10,78,7,0,27,4,41,1,2,11,110,6,12,6,11,6,7,33,7,7,0,28,12,11,26,11,24,7,7,3,42,0,15,19,0,0,9,31,3,0,0
2016_12,16881,3,,27,14,4,2,4,76,62,,0,14,16,22,134,3,0,47,4,81,1,2,21,173,11,11,7,13,1,5,105,2,12,1,22,12,16,159,6,74,5,8,2,43,3,31,32,1,0,17,36,8,0,0
2016_11,16874,7,0,25,1,0,2,3,68,46,2,3,14,21,56,74,0,0,0,3,76,3,2,20,122,1,14,5,24,9,0,153,5,4,2,27,,28,105,10,37,8,11,1,24,7,9,42,1,0,12,20,10,1,2
2016_10,16867,5,0,29,2,0,0,5,47,58,3,2,39,22,36,36,3,0,22,2,91,1,1,21,113,0,9,14,25,7,8,176,2,5,5,29,,29,194,7,23,4,2,1,19,2,8,47,2,0,11,24,8,1,0
2016_09,16860,7,0,17,12,0,0,3,61,46,1,3,23,9,52,34,6,1,27,0,102,4,0,17,135,0,15,30,31,6,4,210,0,0,5,,,29,113,5,33,3,7,3,38,0,11,54,0,0,14,40,0,0,0
2016_08,16853,4,2,11,8,0,0,3,34,38,2,2,17,14,28,22,1,0,25,5,86,4,0,20,174,0,21,19,26,3,4,158,2,2,0,46,,18,80,4,37,1,8,6,35,2,9,91,0,0,22,16,1,0,4
