"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2017_03";"2017-01-16";1;1;0;2;2;0;0;4;10;0;0;2;0;0;59;2;0;0;1;35;1;0;1;14;0;4;7;2;1;3;132;1;0;0;1;6;1;6;1;11;0;0;0;8;2;4;52;1;0;0;0;1;1;0
"2017_02";"2017-01-09";0;2;2;5;1;0;0;4;7;1;1;0;2;8;32;2;0;0;0;27;3;0;0;36;0;8;5;0;1;1;102;0;0;1;6;7;0;14;1;11;0;0;0;10;0;10;23;0;0;0;1;0;1;0
"2017_01";"2017-01-02";0;2;1;4;2;0;0;3;3;1;3;1;0;2;22;2;0;0;0;17;1;2;2;3;0;0;9;0;1;2;102;0;0;0;8;0;3;7;1;2;0;5;0;1;4;10;61;0;0;0;1;1;0;0
"2016_52";"2016-12-26";0;2;5;2;2;0;0;0;1;1;3;2;1;0;44;1;0;1;3;35;0;2;3;22;0;2;7;0;1;4;145;0;0;1;10;1;1;1;0;8;0;4;0;9;0;10;70;1;0;0;1;1;1;0
"2016_51";"2016-12-19";0;1;1;3;2;0;0;2;0;1;3;2;4;4;52;0;0;0;2;13;3;2;3;34;0;16;12;3;1;4;127;1;0;1;3;2;3;16;0;9;0;1;0;4;0;8;24;0;0;0;0;1;0;0
"2016_50";"2016-12-12";0;2;2;2;2;0;0;5;8;1;0;3;3;4;79;0;0;1;3;23;2;2;3;16;0;0;5;1;1;2;107;1;0;1;2;8;2;14;0;11;0;4;0;3;3;9;0;1;0;0;2;2;1;0
"2016_49";"2016-12-05";0;2;0;4;2;0;0;0;2;1;2;5;2;6;33;0;0;0;2;3;1;1;6;12;0;10;12;1;1;1;120;2;0;0;10;1;2;4;0;11;0;2;0;11;2;0;88;0;0;0;0;1;0;0
"2016_48";"2016-11-28";1;1;3;5;1;0;0;3;7;1;2;0;1;0;9;0;0;0;3;20;0;1;7;26;0;4;8;1;1;3;48;0;0;1;11;3;1;9;1;12;0;1;0;1;2;7;35;0;0;0;1;0;0;0
"2016_47";"2016-11-21";0;1;5;4;0;0;0;2;0;0;3;2;4;7;42;2;0;1;1;20;1;1;3;22;0;5;5;0;0;0;119;1;0;1;8;2;2;8;0;1;0;5;0;6;0;6;75;1;0;0;0;1;1;0
"2016_46";"2016-11-14";1;2;4;0;2;0;0;4;6;1;3;4;2;3;58;1;0;0;2;1;1;0;2;30;0;9;11;1;1;2;104;0;0;0;11;7;0;15;0;3;0;0;0;2;2;2;37;0;0;0;2;1;1;0
"2016_45";"2016-11-07";1;2;3;2;0;0;0;3;3;0;3;3;4;7;65;2;0;0;1;33;3;1;5;32;0;4;10;3;0;0;12;2;0;1;6;1;0;14;1;6;0;3;0;6;4;10;20;1;0;0;2;1;0;0
"2016_44";"2016-10-31";1;0;5;6;0;0;0;1;1;0;3;4;1;8;84;2;0;1;0;42;3;1;1;5;0;6;9;3;1;3;22;2;0;1;9;5;3;2;1;8;0;5;0;0;0;1;80;0;0;0;1;0;1;0
"2016_43";"2016-10-24";1;0;1;0;1;0;0;1;2;0;3;3;2;0;4;0;0;0;1;14;2;0;3;35;0;8;2;0;1;0;36;1;0;0;11;0;2;16;1;12;0;4;0;12;4;5;93;0;0;0;2;2;0;0
"2016_42";"2016-10-17";1;1;0;2;1;0;0;4;6;0;0;2;4;2;12;2;0;1;0;34;2;2;4;0;0;7;0;2;0;1;113;2;0;0;3;0;0;2;0;2;0;4;0;6;4;10;96;0;0;0;2;0;0;0
"2016_41";"2016-10-10";1;2;1;4;1;0;0;4;8;0;3;4;0;6;25;2;0;0;0;13;1;0;1;15;0;11;6;2;1;0;132;2;0;0;10;7;3;2;0;13;0;2;0;6;4;4;88;0;0;0;2;0;1;0
"2016_40";"2016-10-03";1;1;4;3;0;0;0;0;0;0;3;0;4;6;54;2;0;1;1;35;0;1;6;21;0;14;7;1;1;4;35;2;0;0;2;4;0;1;1;1;0;5;0;1;4;9;71;0;0;0;2;1;1;0
"2016_39";"2016-09-26";0;0;0;2;2;0;0;5;10;1;3;4;1;6;43;2;0;0;0;13;1;1;7;1;0;4;9;1;1;3;70;1;0;1;0;0;1;16;0;13;0;3;0;10;2;9;51;0;0;0;1;1;0;0
"2016_38";"2016-09-19";0;1;0;1;2;0;0;0;10;0;1;4;0;4;91;1;0;0;0;35;3;1;4;7;0;1;11;0;0;1;16;2;0;0;0;6;0;7;1;12;0;5;0;7;3;3;37;1;0;0;2;2;0;0
"2016_37";"2016-09-12";1;1;3;0;2;0;0;1;2;0;1;5;0;2;28;2;0;0;2;17;3;1;6;35;0;0;0;0;0;3;100;1;0;1;5;8;2;0;0;3;0;2;0;3;0;3;51;1;0;0;0;0;0;0
"2016_36";"2016-09-05";0;0;5;0;1;0;0;3;4;1;3;1;1;7;3;2;0;1;2;24;2;1;6;24;0;0;12;3;1;4;13;1;0;1;2;0;1;5;1;3;0;4;0;9;4;2;66;1;0;0;1;2;0;0
"2016_35";"2016-08-29";0;1;0;1;0;0;0;0;10;1;0;1;2;8;24;2;0;0;3;27;0;0;3;26;0;17;2;3;1;2;80;1;0;1;13;7;1;0;0;4;0;1;0;6;1;10;19;0;0;0;1;2;1;0
"2016_34";"2016-08-22";0;1;2;4;0;0;0;3;3;1;0;1;0;2;15;1;0;0;2;13;1;1;6;22;0;17;6;0;0;4;74;2;0;1;8;6;3;13;1;11;0;2;0;9;3;8;47;0;0;0;0;0;1;0
