"deb_sem";"abv";"abz";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"dri";"ejd";"far";"fns";"iho";"mae";"mdv";"mhj";"mia";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2007-04-09";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-04-16";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-04-23";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-04-30";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-05-07";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-05-14";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-05-21";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-05-28";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-06-04";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-06-11";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-06-18";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-06-25";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-07-02";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-07-09";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
