"code","deb_sem","type_val","abon","abv","abz","ahh","ajb","ambl","ants","atb","bel","bela","bhk","boe","bos","cda","die","diri","dona","dri","ejd","far","fito","fns","iho","mae","mand","mdv","mhj","mia","miad","mjr","mnj","mnld","mora","mrb","mrg","mrt","mtn","nsb","samp","sbv","snam","stm","tanb","tdd","tgr","tlr","toa","tomp","tsar","tsim","tsl","velo","vink","vola"
"2016_14",16895,"NDVI",,0.3012,0.455,0.7156,0.6635,,,0.5531,0.424,,0.1807,0.6715,0.5083,0.2493,0.4413,,,0.4219,0.4885,0.5185,,0.5803,0.6537,0.5909,,0.5493,0.6915,0.5867,,0.2379,0.382,,,0.4494,0.518,0.4169,0.3797,0.8831,,0.4117,,0.804,,0.2775,0.4413,0.2907,0.4123,,,,0.2148,,,
"2016_14",16895,"PRECIPITATION",,0.4102055,0,0.756345,0,,,0,0,,0,0,0,0,1.15968928E1,,,3.11700348,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0499847E1,0,1.760872E1,,3.0130304E1,,9.501219,,0,0.4990041,0,0.1381152,,,,0,,,
"2016_13",16888,"NDVI",,0.3012,0.455,0.7156,0.6635,,,0.5531,0.424,,0.1807,0.6715,0.5083,0.2493,0.4413,,,0.4219,0.4885,0.5185,,0.5803,0.6537,0.5909,,0.5493,0.6915,0.5867,,0.2379,0.382,,,0.4494,0.518,0.4169,0.3797,0.8831,,0.4117,,0.804,,0.2775,0.4413,0.2907,0.4123,,,,0.2148,,,
"2016_13",16888,"PRECIPITATION",,1.42805311E1,2.54031152E1,7.364788951E1,7.94305,,,2.24713377,3.64838664E1,,4.00106558,1.87059756E1,2.860817,2.11151886,5.919829225E1,,,7.006841694E1,4.8913499E1,7.5508414,,3.02943116,2.0284398E1,1.448203258E1,,2.65396556E1,1.41879062E1,3.18540156E1,,4.00106558,2.98573812,,,3.7986722E1,1.496740599E1,9.8648864E1,1.538059245E2,2.9692443E1,,1.47820131E2,,2.3108037E1,,1.02759031E1,6.05814595,7.27861769E1,4.69728145E1,,,,4.00106558,,,
"2016_12",16881,"LST_DAY",,4.668E1,2.998E1,3.21E1,2.984E1,,,2.987E1,2.952E1,,3.136E1,3.152E1,2.695E1,32,2.798E1,,,3.512E1,3.549E1,2.91E1,,2.932E1,3.361E1,3.31E1,,3.187E1,3.172E1,3.343E1,,3.107E1,3.153E1,,,3.043E1,2.96E1,3.024E1,3.087E1,2.937E1,,3.115E1,,2.717E1,,2.645E1,2.906E1,3.736E1,3.348E1,,,,3.032E1,,,
"2016_12",16881,"LST_NIGHT",,2.334E1,1.956E1,2.436E1,1.806E1,,,1.584E1,2.336E1,,1.836E1,2.668E1,1.698E1,1.837E1,2.439E1,,,2.175E1,2.246E1,2.185E1,,1.673E1,1.906E1,2.32E1,,2.352E1,2.55E1,2.009E1,,1.806E1,,,,2.391E1,1.873E1,2.402E1,2.097E1,2.342E1,,2.17E1,,2.279E1,,2.047E1,2.272E1,2.609E1,2.363E1,,,,1.81E1,,,
"2016_12",16881,"NDVI",,0.3012,0.455,0.7156,0.6635,,,0.5531,0.424,,0.1807,0.6715,0.5083,0.2493,0.4413,,,0.4219,0.4885,0.5185,,0.5803,0.6537,0.5909,,0.5493,0.6915,0.5867,,0.2379,0.382,,,0.4494,0.518,0.4169,0.3797,0.8831,,0.4117,,0.804,,0.2775,0.4413,0.2907,0.4123,,,,0.2148,,,
"2016_12",16881,"PRECIPITATION",,5.43284822E1,7.70969433E1,9.2845976E1,8.4431055E1,,,9.27200626E1,9.82567064,,8.64337688E1,1.69063924E1,1.15820357E2,8.74219456E1,6.23853251E1,,,8.5779171E1,3.51990655E1,9.33134371E1,,1.17778503E2,6.1072285E1,1.73502136E1,,6.1536451,1.05425383E1,1.07109943E1,,8.64337688E1,1.13937542E2,,,1.76675095E1,8.045934E1,4.93366625E1,5.16528932E1,7.76982658E1,,2.251527092E1,,9.21376068E1,,8.34811191E1,5.911839548E1,3.1178358E1,6.35189588E1,,,,8.64337688E1,,,
"2016_11",16874,"LST_DAY",,4.668E1,2.998E1,3.21E1,2.984E1,,,2.987E1,2.952E1,,3.136E1,3.152E1,2.695E1,32,2.798E1,,,3.512E1,3.549E1,2.91E1,,2.932E1,3.361E1,3.31E1,,3.187E1,3.172E1,3.343E1,,3.107E1,3.153E1,,,3.043E1,2.96E1,3.024E1,3.087E1,2.937E1,,3.115E1,,2.717E1,,2.645E1,2.906E1,3.736E1,3.348E1,,,,3.032E1,,,
"2016_11",16874,"LST_NIGHT",,2.334E1,1.956E1,2.436E1,1.806E1,,,1.584E1,2.336E1,,1.836E1,2.668E1,1.698E1,1.837E1,2.439E1,,,2.175E1,2.246E1,2.185E1,,1.673E1,1.906E1,2.32E1,,2.352E1,2.55E1,2.009E1,,1.806E1,,,,2.391E1,1.873E1,2.402E1,2.097E1,2.342E1,,2.17E1,,2.279E1,,2.047E1,2.272E1,2.609E1,2.363E1,,,,1.81E1,,,
"2016_11",16874,"PRECIPITATION",,2.88166489E1,1.60358946E2,6.4951079,1.92923736E2,,,1.64387457E2,7.250368159E1,,2.007410424E2,3.48752337,3.71000231E1,2.04687418E2,2.1883024,,,6.36121993E1,3.8962955E1,2.92012868E1,,2.54911884E1,4.213351061E1,1.590443332E1,,7.05926495E1,2.9961597,7.37086852E1,,2.007410424E2,2.94325191E1,,,5.5504922E1,1.77271562E2,6.4964859E1,9.5248369E1,7.89806567E1,,7.6708993E1,,2.6312122E2,,1.816226698E2,2.332475727E1,4.6305804E1,1.1158640014E2,,,,2.007410424E2,,,
"2016_10",16867,"LST_DAY",,4.382E1,2.712E1,2.935E1,2.571E1,,,3.073E1,3.367E1,,2.964E1,3.179E1,2.684E1,31,2.688E1,,,3.025E1,4.21E1,3.107E1,,2.861E1,3.243E1,3.835E1,,3.455E1,3.273E1,3.496E1,,2.853E1,3.209E1,,,3.394E1,2.765E1,2.81E1,2.737E1,2.732E1,,2.669E1,,2.981E1,,2.834E1,2.824E1,3.998E1,3.276E1,,,,2.899E1,,,
