code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2016_20,16937,,,,1,4,0,1,6,,0,,,3,,,0,,,,,0,0,,10,,,,0,0,,0,,,,3,,,,0,0,0,,0,6,0,2,,,,0,,0,,0
2016_19,16930,,0,7,0,1,0,1,21,14,0,1,2,4,5,0,0,0,0,9,32,0,0,8,19,3,2,5,0,0,1,1,,2,0,8,,4,7,0,0,2,1,4,14,1,8,2,0,,0,0,4,0,0
2016_18,16923,,,5,4,1,0,0,31,21,0,0,5,3,4,0,0,0,4,4,45,0,2,8,25,4,0,4,0,1,1,0,,4,0,1,3,5,15,4,0,8,2,1,8,1,8,4,0,0,0,5,7,0,0
2016_17,16916,,1,4,7,5,0,5,35,36,0,4,4,17,2,0,0,0,3,4,66,0,1,15,31,7,6,3,0,0,2,1,,8,0,12,1,0,43,4,1,0,4,0,11,1,17,10,0,0,0,4,6,0,0
2016_16,16909,,4,8,3,2,0,0,46,21,0,1,7,8,0,0,0,0,10,1,111,0,2,10,34,17,1,2,0,1,1,0,,1,0,4,7,2,39,4,5,0,1,0,23,3,14,14,0,0,0,7,3,0,0
2016_15,16902,,0,0,12,8,0,0,40,43,0,0,3,14,0,0,0,2,6,3,58,0,3,6,36,4,2,5,0,0,0,0,0,4,0,7,5,3,20,6,0,2,5,0,19,3,10,6,0,0,0,5,4,0,0
2016_14,16895,10,1,2,6,6,0,0,54,45,,0,11,8,0,0,0,8,14,0,53,0,2,6,70,5,7,0,0,1,0,0,0,12,0,5,3,5,22,7,0,0,6,2,12,0,26,14,0,0,0,8,3,0,2
2016_13,16888,4,0,8,3,1,0,1,28,3,,0,5,8,0,0,0,0,15,2,37,0,2,7,50,6,6,3,0,1,4,0,1,2,0,9,2,4,13,5,4,1,4,1,24,1,12,10,0,0,0,6,1,0,0
2016_12,16881,2,,13,14,4,0,0,63,32,,0,5,11,0,1,0,0,22,0,36,0,0,9,135,11,3,2,0,0,2,2,0,10,0,6,0,3,80,6,30,2,7,0,15,3,23,19,0,0,0,5,3,0,0
2016_11,16874,3,0,11,1,0,0,0,55,15,0,3,6,20,0,0,0,0,0,0,28,1,2,12,33,1,1,2,0,3,0,0,1,2,0,10,,8,62,8,0,4,10,0,11,3,3,24,0,0,0,7,3,0,0
2016_10,16867,4,0,13,2,0,0,0,36,25,0,0,13,17,0,1,0,0,7,0,36,0,1,8,47,0,3,6,0,5,5,2,0,2,0,13,,7,109,4,3,1,2,0,10,0,5,35,0,0,0,5,1,0,0
2016_09,16860,3,0,4,10,0,0,0,48,20,1,3,7,6,0,0,0,1,5,0,24,0,9,4,48,0,3,11,0,1,1,2,0,0,0,,,9,62,3,1,0,4,0,12,0,8,54,0,0,0,3,0,0,0
2016_08,16853,3,2,0,6,0,0,0,24,9,1,2,12,11,0,0,0,0,8,0,32,0,0,12,63,0,3,9,0,1,2,0,0,1,0,19,,6,46,2,9,0,5,0,12,0,6,42,0,0,0,5,0,0,3
