"semaine";"debut";"abk";"abv";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"ejd";"far";"fia";"iho";"mae";"mdv";"mhj";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2011_49";2011-12-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
"2011_50";2011-12-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"2012_01";2012-01-02;NA;NA;NA;NA;4;NA;3;NA;NA;1;NA;NA;NA;NA;NA;1;NA;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2012_02";2012-01-09;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;2;2
"2012_03";2012-01-16;NA;NA;NA;NA;3;NA;2;NA;NA;NA;2;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;2
"2012_04";2012-01-23;NA;NA;NA;NA;6;NA;2;NA;NA;3;1;NA;NA;NA;NA;2;NA;6;1;NA;NA;NA;NA;NA;1;NA;NA;NA;3;NA;NA;NA
"2012_05";2012-01-30;NA;NA;NA;NA;5;NA;4;NA;NA;NA;5;NA;NA;NA;NA;1;2;5;1;NA;NA;NA;NA;NA;2;NA;NA;4;NA;NA;NA;2
"2012_06";2012-02-06;1;NA;NA;NA;2;NA;3;NA;NA;NA;2;NA;1;NA;NA;2;1;3;1;NA;NA;NA;NA;NA;5;3;NA;NA;NA;NA;1;2
"2012_07";2012-02-13;NA;NA;NA;NA;1;NA;1;NA;NA;1;3;NA;NA;NA;NA;1;NA;1;5;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA
"2012_08";2012-02-20;NA;NA;NA;NA;4;NA;3;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;3;1;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;3;NA
