"deb_sem";"code";"abv";"abz";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"dri";"ejd";"far";"fns";"iho";"mae";"mdv";"mhj";"mia";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2016-02-08";"2016_06";50.86;35.64;39.5028571428571;15.46;24.28;45.9642857142857;28.75;49.61;36.46;37.53;25.8842857142857;46.1185714285714;32.06;18.93;23.06;29.25;26.3885714285714;28.7214285714286;24.71;28.08;19.66;34.74;43.14;17.73;27.9228571428571;28.5;31.37;28.86;32.6814285714286;29.49;22.55;44.1;27.17;32.51
"2016-02-01";"2016_05";36.86;38.64;43.5028571428571;19.46;31.28;45.9642857142857;23.75;38.61;28.46;34.53;31.8842857142857;34.1185714285714;37.06;30.93;36.06;26.25;29.3885714285714;40.7214285714286;31.71;42.08;33.66;26.74;41.14;26.73;30.9228571428571;26.5;32.37;24.86;28.6814285714286;38.49;18.55;40.1;24.17;26.51
"2016-01-25";"2016_04";51.86;34.64;42.5028571428571;27.46;20.28;46.9642857142857;24.75;23.61;24.46;22.53;22.8842857142857;38.1185714285714;39.06;23.93;35.06;46.25;39.3885714285714;39.7214285714286;33.71;36.08;24.66;26.74;47.14;32.73;28.9228571428571;44.5;36.37;32.86;26.6814285714286;21.49;24.55;37.1;27.17;37.51
"2016-01-18";"2016_03";26.86;34.64;23.5028571428571;18.46;36.28;37.9642857142857;24.75;42.61;17.46;29.53;21.8842857142857;23.1185714285714;50.06;25.93;32.06;32.25;23.3885714285714;36.7214285714286;37.71;35.08;21.66;21.74;37.14;31.73;18.9228571428571;46.5;36.37;22.86;30.6814285714286;43.49;17.55;30.1;26.17;35.51
"2016-01-11";"2016_02";50.86;27.64;42.5028571428571;25.46;32.28;32.9642857142857;32.75;27.61;15.46;19.53;23.8842857142857;38.1185714285714;50.06;34.93;27.06;40.25;22.3885714285714;41.7214285714286;38.71;44.08;36.66;23.74;37.14;35.73;23.9228571428571;28.5;22.37;26.86;16.6814285714286;23.49;20.55;43.1;38.17;36.51
"2015-12-07";"2015_50";45.86;27.64;31.5028571428571;37.46;30.28;34.9642857142857;35.75;41.61;31.46;38.53;28.8842857142857;46.1185714285714;39.06;19.93;37.06;36.25;26.3885714285714;40.7214285714286;40.71;31.08;31.66;23.74;30.14;16.73;18.9228571428571;32.5;33.37;27.86;29.6814285714286;40.49;16.55;44.1;25.17;27.51
"2015-11-30";"2015_49";44.86;25.64;36.5028571428571;22.46;37.28;29.9642857142857;25.75;41.61;34.46;22.53;25.8842857142857;31.1185714285714;37.06;20.93;30.06;36.25;41.3885714285714;38.7214285714286;28.71;39.08;37.66;21.74;29.14;21.73;36.9228571428571;42.5;23.37;35.86;17.6814285714286;41.49;28.55;31.1;19.17;20.51
"2015-11-23";"2015_48";32.86;40.64;45.5028571428571;30.46;21.28;36.9642857142857;27.75;37.61;34.46;21.53;26.8842857142857;31.1185714285714;48.06;24.93;38.06;34.25;29.3885714285714;38.7214285714286;23.71;44.08;18.66;21.74;47.14;31.73;25.9228571428571;33.5;26.37;26.86;22.6814285714286;42.49;31.55;45.1;24.17;38.51
"2015-11-16";"2015_47";42.86;29.64;26.5028571428571;25.46;35.28;27.9642857142857;20.75;26.61;24.46;34.53;18.8842857142857;46.1185714285714;45.06;35.93;22.06;32.25;27.3885714285714;32.7214285714286;39.71;46.08;28.66;25.74;37.14;19.73;30.9228571428571;21.5;20.37;32.86;19.6814285714286;36.49;24.55;46.1;37.17;28.51
"2015-11-09";"2015_46";44.86;30.64;39.5028571428571;33.46;32.28;30.9642857142857;24.75;49.61;16.46;23.53;21.8842857142857;40.1185714285714;42.06;26.93;25.06;29.25;44.3885714285714;38.7214285714286;20.71;45.08;30.66;30.74;27.14;38.73;17.9228571428571;23.5;31.37;29.86;34.6814285714286;25.49;25.55;36.1;27.17;29.51
