"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2016_16";16909;;;;;;;0;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;
"2016_15";16902;;;;;;0;2;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;10;;;;
"2016_14";16895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2016_14";16895;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2;;;;0
"2016_14";16895;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;2;;;;0
"2016_14";16895;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;3;;;;0
"2016_13";16888;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2;;;;
"2016_13";16888;;;;;;;1;0;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;2;;;;
"2016_13";16888;;;;;;;1;0;;;;;;;;0;;;;;;;;;;;;;1;;;;;;;;;;0;;;;0;;;;;;;2;;;;
"2016_12";16881;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
"2016_12";16881;;;;;;1;2;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;4;;;;
"2016_11";16874;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;2;;;;
"2016_11";16874;0;;;;;0;2;0;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;0;;;;0;;;;;;;6;;;;
"2016_10";16867;;;;;;;;;;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
"2016_10";16867;;;;;;;0;;;;0;;1;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;0;;3;;0;;
"2016_09";16860;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;2;;;;
"2016_09";16860;;;;;;;0;;;0;;;;;;0;;;;;0;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;7;;;;
"2016_08";16853;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;0;;;;0;;;;;;;17;;0;;
"2016_07";16846;;;;;;;2;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;15;0;;;
"2016_06";16839;;;;;;;0;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;13;;;;
"2016_05";16832;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;12;;0;;
"2016_04";16825;;;;;;;1;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;25;;;;
"2016_03";16818;;;;;;0;2;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;1;;18;;;;
"2016_02";16811;;;;;;;5;;;0;;;0;;;;;;;;0;0;;;;;;;0;;;;;;;;;;;;;;0;;;;;0;;18;;0;;
"2016_01";16804;;;;;;;0;0;;1;;;0;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;0;;;;;;0;19;;;;
"2015_53";16797;;;;;;;1;;;0;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;0;;;;;;;;;;;16;;0;;
"2015_52";16790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;7;;0;;0
"2015_51";16783;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;0;;;;;;;2;;;;
"2015_50";16776;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;
"2015_49";16769;;;;;;;;;;0;;;;;;;0;;;;0;1;;;;;;;0;;;;;;;;;;;;;;0;;;;;;0;;;;;
