"Code";"Last 06 Weeks";"Last Week";"Sites"
"abon";"na-na-na-na-na-na";"na";"Amboanana"
"ambl";"00-00-00-na-na-na";"na";"Ambatolahy"
"ants";"03-00-na-00-01-na";"na";"Antsampandrano"
"bela";"na-na-na-na-na-na";"na";"Belanitra"
"diri";"na-00-na-na-na-na";"na";"Ambodiriana"
"dona";"na-00-na-na-na-na";"na";"Manandona"
"fito";"00-00-na-na-00-na";"0";"Andranofito"
"mand";"na-na-na-na-na-na";"na";"Antanimandry"
"miad";"00-00-na-na-na-na";"na";"Ambatomiady"
"mnld";"na-na-na-na-na-na";"na";"Manalalondo"
"mora";"na-na-na-na-na-na";"na";"Morarano"
"samp";"na-00-na-na-na-na";"0";"Antsampandrano"
"snam";"na-na-na-00-na-na";"na";"Sabotsy namatoana"
"tanb";"00-na-na-00-00-na";"na";"Antanambao"
"tomp";"na-na-na-00-na-na";"na";"Ambohitompoina"
"tsar";"na-na-na-na-na-na";"na";"Tsarahonenana"
"tsim";"12-05-05-13-07-03";"na";"Tsimadilo"
"velo";"na-na-na-na-na-na";"na";"Andranovelona"
"vink";"na-na-na-00-na-na";"na";"Vinanikarena"
"vola";"na-na-na-na-na-na";"na";"Andranovola"
