"code";"deb_sem";"sites";"perc_rank"
"2016_24";"2016-06-13";"abon";95
"2016_23";"2016-06-06";"abon";95
"2016_22";"2016-05-30";"abon";95
"2016_21";"2016-05-23";"abon";95
"2016_20";"2016-05-16";"abon";100
"2016_19";"2016-05-09";"abon";95
"2016_18";"2016-05-02";"abon";95
"2016_17";"2016-04-25";"abon";95
"2016_16";"2016-04-18";"abon";95
"2016_15";"2016-04-11";"abon";95
"2016_14";"2016-04-04";"abon";95
"2016_13";"2016-03-28";"abon";95
"2016_12";"2016-03-21";"abon";95
"2016_11";"2016-03-14";"abon";95
"2016_10";"2016-03-07";"abon";95
"2016_09";"2016-02-29";"abon";95
"2016_08";"2016-02-22";"abon";95
"2016_07";"2016-02-15";"abon";95
"2016_06";"2016-02-08";"abon";95
"2016_05";"2016-02-01";"abon";95
"2016_04";"2016-01-25";"abon";95
"2016_03";"2016-01-18";"abon";95
"2016_02";"2016-01-11";"abon";95
"2016_01";"2016-01-04";"abon";95
"2015_53";"2015-12-28";"abon";0
"2015_52";"2015-12-21";"abon";0
"2015_51";"2015-12-14";"abon";0
"2015_50";"2015-12-07";"abon";0
"2015_49";"2015-11-30";"abon";95
"2015_48";"2015-11-23";"abon";95
"2015_47";"2015-11-16";"abon";95
"2015_46";"2015-11-09";"abon";95
"2015_45";"2015-11-02";"abon";95
"2015_44";"2015-10-26";"abon";95
"2015_43";"2015-10-19";"abon";95
"2015_42";"2015-10-12";"abon";95
"2015_41";"2015-10-05";"abon";95
"2015_40";"2015-09-28";"abon";95
"2015_39";"2015-09-21";"abon";95
"2015_38";"2015-09-14";"abon";95
"2015_37";"2015-09-07";"abon";95
"2015_36";"2015-08-31";"abon";95
"2015_35";"2015-08-24";"abon";95
"2015_34";"2015-08-17";"abon";95
"2015_33";"2015-08-10";"abon";95
"2015_32";"2015-08-03";"abon";95
"2015_31";"2015-07-27";"abon";100
"2015_30";"2015-07-20";"abon";95
"2015_29";"2015-07-13";"abon";0
"2015_28";"2015-07-06";"abon";0
"2015_27";"2015-06-29";"abon";0
"2015_26";"2015-06-22";"abon";0
"2015_25";"2015-06-15";"abon";0
"2015_24";"2015-06-08";"abon";0
"2015_23";"2015-06-01";"abon";0
"2015_22";"2015-05-25";"abon";0
"2015_21";"2015-05-18";"abon";0
"2015_20";"2015-05-11";"abon";0
"2015_19";"2015-05-04";"abon";0
"2015_18";"2015-04-27";"abon";0
"2015_17";"2015-04-20";"abon";0
"2015_16";"2015-04-13";"abon";0
"2015_15";"2015-04-06";"abon";0
"2015_14";"2015-03-30";"abon";0
"2015_13";"2015-03-23";"abon";0
"2015_12";"2015-03-16";"abon";0
"2015_11";"2015-03-09";"abon";0
"2015_10";"2015-03-02";"abon";0
"2015_09";"2015-02-23";"abon";0
"2015_08";"2015-02-16";"abon";0
"2015_07";"2015-02-09";"abon";0
"2015_06";"2015-02-02";"abon";0
"2015_05";"2015-01-26";"abon";0
"2015_04";"2015-01-19";"abon";0
"2015_03";"2015-01-12";"abon";0
"2015_02";"2015-01-05";"abon";0
"2015_01";"2014-12-29";"abon";0
"2014_52";"2014-12-22";"abon";0
"2014_51";"2014-12-15";"abon";0
"2014_50";"2014-12-08";"abon";0
