"Centre";"Centre2"
"Sabotsy namatoana";"snam"
"Salfa tgr";"tgr"
"Ambohitompoina";"tomp"
"Csb2 urbain ahh";"ahh"
"Ambatolahy";"ambl"
"Antsampandrano";"ants"
"Csb2 ambalavato atb";"atb"
"Csb2 vatovory bos";"bos"
"Csb2 tanambao die";"die"
"Manandona";"dona"
"Andranofito";"fito"
"Salfa ivory fns";"fns"
"Csb2 ankily iho";"iho"
"Csb2 mdv";"mdv"
"Manjakaray mjr";"mjr"
"Morarano";"mora"
"Csmi mrg";"mrg"
"Csbu maintirano mtn";"mtn"
"Csb2 tanambao tlr";"tlr"
"Csb2 anjozorobe ajb";"ajb"
"Ambodiriana";"diri"
"Csb2 farafangana far";"far"
"Csb2 urbain mae";"mae"
"Antanimandry";"mand"
"Csbu miandrivazo mia";"mia"
"Ambatomiady";"miad"
"Csbu mananjary mnj";"mnj"
"Csbu nosybe nsb";"nsb"
"Antsampandrano";"samp"
"Csb2 sambava sbv";"sbv"
"Csb2 urbain tdd";"tdd"
"Csmi tsaralalana tsl";"tsl"
"Andranovelona";"velo"
"Csbu belo tsiribihina";"bel"
"Belanitra";"bela"
"Csbu ambato boeny boe";"boe"
"Csb2 tsararano mhj";"mhj"
"Csbu sainte marie stm";"stm"
"Du tanambao i toa";"toa"
"Vinanikarena";"vink"
"Csb2 andalatanosy abv";"abv"
"Csb2 mandritsara";"dri"
"Antanambao";"tanb"
"Csbu ambatondrazaka abz";"abz"
"Salfa tanandava mrb";"mrb"
"Andranovola";"vola"
"Cda andohatapenaka";"cda"
"Tsimadilo";"tsim"
"Salfa ejeda";"ejd"
"Csbu maroantsetra mrt";"mrt"
"Ostie behoririka bhk";"bhk"
"Tsarahonenana";"tsar"
"Manalalondo";"mnld"
"Amboanana";"abon"
