CODE,Long,Lat,name,centre,fokontany
ABV,45.59663,-24.66896986,Ambovombe,CSB2 ANDALATANOSY ABV,Andalatanosy Atsimo
ABZ,48.425,-17.8358899,Ambatondrazaka,CSBU AMBATONDRAZAKA ABZ,Ambohimasina
AHH,47.98458,-14.87278991,Antsohihy,CSB2 URBAIN AHH,Antafiantsivakina
AJB,47.8795,-18.40266989,Anjozorobe,CSB2 ANJOZOROBE AJB,Anjozorobe
ATB,47.04309,-19.87578989,Antsirabe,CSB2 AMBALAVATO ATB,Tomboarivo
BEL,44.54722,-19.69917989,Belo sur Tsiribihina,CSBU BELO TSIRIBIHINA,Soatsioky
BHK,47.52579426,-18.90269788,Behoririka,CSB2 AMIT BEHORIRIKA,Behoririka
BOE,46.71696,-16.4676599,Ambato Boeny,CSBU AMBATO BOENY BOE,Ambato Boeny
BOS,47.2514,-20.52029988,Ambositra,CSB2 VATOVORY BOS,Vatovory
CDA,47.49888222,-18.90466439,Andohatapenaka,CDA ANDOHATAPENAKA,Andohatapenaka I
DIE,49.29383,-12.28322993,Antsiranana I,CSB2 TANAMBAO DIE,Bazarikely
DRI,48.82799,-15.84181991,Mandritsara,CSB2 MANDRITSARA,Mandritsara Vaovao
EJD,44.516,-24.35099987,Ejeda,SALFA EJEDA,Ejeda Sud
FAR,47.83131,-22.82282987,Farafangana,CSB2 FARAFANGANA FAR,Ambahibe
FNS,47.09358,-21.44545988,Fianarantsoa,SALFA IVORY FNS,Ivory
IHO,46.09932,-22.38624987,Ihosy,CSB2 ANKILY IHO,Ankily
MAE,46.82948,-16.9453099,Maevatanana,CSB2 URBAIN MAE,Anosikely Avaratra
MDV,44.27608,-20.28950988,Morondava,CSB2 MDV,Morondava Centre
MIA,45.45818,-19.52801989,Miandrivazo,CSBU MIANDRIVAZO MIA,Miandrivazo II
MJR,47.53434,-18.89063989,Manjakaray,MANJAKARAY MJR,Manjakaray IIb
MNJ,48.34762,-21.23438988,Mananjary,CSBU MANANJARY,Masindrano
MRB,43.74811,-21.70041988,Morombe,SALFA TANANDAVA MRB,Tanandava Station
MRG,48.22965,-18.94855989,Moramanga,CSMI MRG,Moramanga Ville
MRT,49.74058,-15.43706991,Maroantsetra,CSBU MAROANTSETRA MRT,Androkaroka
MTN,44.02403,-18.05918989,Maintirano,CSBU MAINTIRANO MTN,Andranovoribe
NSB,48.27481,-13.40485992,Nosy Be,CSBU NOSYBE NSB,Camp Vert
SBV,50.15967,-14.25692991,Sambava,CSB2 SAMBAVA SBV,Sambava Centre
TDD,46.04964,-18.76918989,Tsiroanomandidy,CSB2 URBAIN TDD,Name Unknown
TGR,46.9948,-25.03053986,Tolagnaro,SALFA TGR,Bazaribe
TLR,43.67482,-23.35310987,Toliary,CSB2 TANAMBAO TLR,Tanambao I
TOA,49.40831,-18.15370989,Toamasina,DU TANAMBAO I TOA,Tanambao I 31/21
TSL,47.52331756,-18.90708058,Tsaralalana,CSB2 CSMI TSARALALANA,Antanimalalaka Analakely
MHJ,46.33004,-15.70655991,Mahajanga,CSB2 TSARARANO MHJ,Tsararano Ambony
STM,49.85307,-16.9989999,Ambodifototra,CSBU SAINTE MARIE STM,Ambodifotatra
