"deb_sem";"code";"sites";"occurence";"East";"South";"High_land";"Fringe";"excepted_East";"excepted_High_land";"weeks";"years"
"2007-12-31";"2008_01";"abv";NA;NA;1;NA;NA;1;1;1;2008
"2008-12-29";"2009_01";"abv";NA;NA;1;NA;NA;1;1;1;2009
"2010-01-04";"2010_01";"abv";0;NA;1;NA;NA;1;1;1;2010
"2011-01-03";"2011_01";"abv";3;NA;1;NA;NA;1;1;1;2011
"2012-01-02";"2012_01";"abv";2;NA;1;NA;NA;1;1;1;2012
"2012-12-31";"2013_01";"abv";12;NA;1;NA;NA;1;1;1;2013
"2013-12-30";"2014_01";"abv";NA;NA;1;NA;NA;1;1;1;2014
"2014-12-29";"2015_01";"abv";NA;NA;1;NA;NA;1;1;1;2015
"2016-01-04";"2016_01";"abv";5;NA;1;NA;NA;1;1;1;2016
"2008-01-07";"2008_02";"abv";NA;NA;1;NA;NA;1;1;2;2008
"2009-01-05";"2009_02";"abv";NA;NA;1;NA;NA;1;1;2;2009
"2010-01-11";"2010_02";"abv";0;NA;1;NA;NA;1;1;2;2010
"2011-01-10";"2011_02";"abv";4;NA;1;NA;NA;1;1;2;2011
"2012-01-09";"2012_02";"abv";3;NA;1;NA;NA;1;1;2;2012
"2013-01-07";"2013_02";"abv";12;NA;1;NA;NA;1;1;2;2013
"2014-01-06";"2014_02";"abv";NA;NA;1;NA;NA;1;1;2;2014
"2015-01-05";"2015_02";"abv";NA;NA;1;NA;NA;1;1;2;2015
"2016-01-11";"2016_02";"abv";NA;NA;1;NA;NA;1;1;2;2016
"2008-01-14";"2008_03";"abv";NA;NA;1;NA;NA;1;1;3;2008
"2009-01-12";"2009_03";"abv";NA;NA;1;NA;NA;1;1;3;2009
"2010-01-18";"2010_03";"abv";2;NA;1;NA;NA;1;1;3;2010
"2011-01-17";"2011_03";"abv";9;NA;1;NA;NA;1;1;3;2011
"2012-01-16";"2012_03";"abv";1;NA;1;NA;NA;1;1;3;2012
"2013-01-14";"2013_03";"abv";12;NA;1;NA;NA;1;1;3;2013
"2014-01-13";"2014_03";"abv";NA;NA;1;NA;NA;1;1;3;2014
"2015-01-12";"2015_03";"abv";1;NA;1;NA;NA;1;1;3;2015
"2016-01-18";"2016_03";"abv";8;NA;1;NA;NA;1;1;3;2016
"2008-01-21";"2008_04";"abv";NA;NA;1;NA;NA;1;1;4;2008
"2009-01-19";"2009_04";"abv";NA;NA;1;NA;NA;1;1;4;2009
"2010-01-25";"2010_04";"abv";2;NA;1;NA;NA;1;1;4;2010
"2011-01-24";"2011_04";"abv";9;NA;1;NA;NA;1;1;4;2011
"2012-01-23";"2012_04";"abv";8;NA;1;NA;NA;1;1;4;2012
"2013-01-21";"2013_04";"abv";8;NA;1;NA;NA;1;1;4;2013
"2014-01-20";"2014_04";"abv";NA;NA;1;NA;NA;1;1;4;2014
"2015-01-19";"2015_04";"abv";7;NA;1;NA;NA;1;1;4;2015
"2016-01-25";"2016_04";"abv";5;NA;1;NA;NA;1;1;4;2016
"2008-01-28";"2008_05";"abv";NA;NA;1;NA;NA;1;1;5;2008
"2009-01-26";"2009_05";"abv";NA;NA;1;NA;NA;1;1;5;2009
"2010-02-01";"2010_05";"abv";1;NA;1;NA;NA;1;1;5;2010
"2011-01-31";"2011_05";"abv";4;NA;1;NA;NA;1;1;5;2011
"2012-01-30";"2012_05";"abv";8;NA;1;NA;NA;1;1;5;2012
"2013-01-28";"2013_05";"abv";3;NA;1;NA;NA;1;1;5;2013
"2014-01-27";"2014_05";"abv";NA;NA;1;NA;NA;1;1;5;2014
"2015-01-26";"2015_05";"abv";4;NA;1;NA;NA;1;1;5;2015
"2016-02-01";"2016_05";"abv";2;NA;1;NA;NA;1;1;5;2016
"2008-02-04";"2008_06";"abv";NA;NA;1;NA;NA;1;1;6;2008
"2009-02-02";"2009_06";"abv";NA;NA;1;NA;NA;1;1;6;2009
"2010-02-08";"2010_06";"abv";5;NA;1;NA;NA;1;1;6;2010
"2011-02-07";"2011_06";"abv";4;NA;1;NA;NA;1;1;6;2011
"2012-02-06";"2012_06";"abv";10;NA;1;NA;NA;1;1;6;2012
"2013-02-04";"2013_06";"abv";10;NA;1;NA;NA;1;1;6;2013
"2014-02-03";"2014_06";"abv";1;NA;1;NA;NA;1;1;6;2014
"2015-02-02";"2015_06";"abv";4;NA;1;NA;NA;1;1;6;2015
"2016-02-08";"2016_06";"abv";1;NA;1;NA;NA;1;1;6;2016
"2008-02-11";"2008_07";"abv";NA;NA;1;NA;NA;1;1;7;2008
"2009-02-09";"2009_07";"abv";NA;NA;1;NA;NA;1;1;7;2009
"2010-02-15";"2010_07";"abv";0;NA;1;NA;NA;1;1;7;2010
"2011-02-14";"2011_07";"abv";13;NA;1;NA;NA;1;1;7;2011
"2012-02-13";"2012_07";"abv";9;NA;1;NA;NA;1;1;7;2012
"2013-02-11";"2013_07";"abv";NA;NA;1;NA;NA;1;1;7;2013
"2014-02-10";"2014_07";"abv";3;NA;1;NA;NA;1;1;7;2014
"2015-02-09";"2015_07";"abv";1;NA;1;NA;NA;1;1;7;2015
"2016-02-15";"2016_07";"abv";0;NA;1;NA;NA;1;1;7;2016
"2008-02-18";"2008_08";"abv";NA;NA;1;NA;NA;1;1;8;2008
"2009-02-16";"2009_08";"abv";NA;NA;1;NA;NA;1;1;8;2009
"2010-02-22";"2010_08";"abv";2;NA;1;NA;NA;1;1;8;2010
"2011-02-21";"2011_08";"abv";2;NA;1;NA;NA;1;1;8;2011
"2012-02-20";"2012_08";"abv";13;NA;1;NA;NA;1;1;8;2012
"2013-02-18";"2013_08";"abv";18;NA;1;NA;NA;1;1;8;2013
"2014-02-17";"2014_08";"abv";4;NA;1;NA;NA;1;1;8;2014
"2015-02-16";"2015_08";"abv";NA;NA;1;NA;NA;1;1;8;2015
"2016-02-22";"2016_08";"abv";5;NA;1;NA;NA;1;1;8;2016
"2008-02-25";"2008_09";"abv";NA;NA;1;NA;NA;1;1;9;2008
"2009-02-23";"2009_09";"abv";NA;NA;1;NA;NA;1;1;9;2009
"2010-03-01";"2010_09";"abv";3;NA;1;NA;NA;1;1;9;2010
"2011-02-28";"2011_09";"abv";2;NA;1;NA;NA;1;1;9;2011
"2012-02-27";"2012_09";"abv";8;NA;1;NA;NA;1;1;9;2012
"2013-02-25";"2013_09";"abv";19;NA;1;NA;NA;1;1;9;2013
"2014-02-24";"2014_09";"abv";4;NA;1;NA;NA;1;1;9;2014
"2015-02-23";"2015_09";"abv";6;NA;1;NA;NA;1;1;9;2015
"2016-02-29";"2016_09";"abv";0;NA;1;NA;NA;1;1;9;2016
"2008-03-03";"2008_10";"abv";NA;NA;1;NA;NA;1;1;10;2008
"2009-03-02";"2009_10";"abv";NA;NA;1;NA;NA;1;1;10;2009
"2010-03-08";"2010_10";"abv";2;NA;1;NA;NA;1;1;10;2010
"2011-03-07";"2011_10";"abv";5;NA;1;NA;NA;1;1;10;2011
"2012-03-05";"2012_10";"abv";6;NA;1;NA;NA;1;1;10;2012
"2013-03-04";"2013_10";"abv";23;NA;1;NA;NA;1;1;10;2013
"2014-03-03";"2014_10";"abv";1;NA;1;NA;NA;1;1;10;2014
"2015-03-02";"2015_10";"abv";14;NA;1;NA;NA;1;1;10;2015
"2016-03-07";"2016_10";"abv";1;NA;1;NA;NA;1;1;10;2016
"2008-03-10";"2008_11";"abv";NA;NA;1;NA;NA;1;1;11;2008
"2009-03-09";"2009_11";"abv";NA;NA;1;NA;NA;1;1;11;2009
"2010-03-15";"2010_11";"abv";3;NA;1;NA;NA;1;1;11;2010
"2011-03-14";"2011_11";"abv";5;NA;1;NA;NA;1;1;11;2011
"2012-03-12";"2012_11";"abv";5;NA;1;NA;NA;1;1;11;2012
"2013-03-11";"2013_11";"abv";16;NA;1;NA;NA;1;1;11;2013
"2014-03-10";"2014_11";"abv";NA;NA;1;NA;NA;1;1;11;2014
"2015-03-09";"2015_11";"abv";5;NA;1;NA;NA;1;1;11;2015
"2016-03-14";"2016_11";"abv";9;NA;1;NA;NA;1;1;11;2016
"2008-03-17";"2008_12";"abv";NA;NA;1;NA;NA;1;1;12;2008
"2009-03-16";"2009_12";"abv";NA;NA;1;NA;NA;1;1;12;2009
"2010-03-22";"2010_12";"abv";9;NA;1;NA;NA;1;1;12;2010
"2011-03-21";"2011_12";"abv";3;NA;1;NA;NA;1;1;12;2011
"2012-03-19";"2012_12";"abv";4;NA;1;NA;NA;1;1;12;2012
"2013-03-18";"2013_12";"abv";5;NA;1;NA;NA;1;1;12;2013
"2014-03-17";"2014_12";"abv";1;NA;1;NA;NA;1;1;12;2014
"2015-03-16";"2015_12";"abv";0;NA;1;NA;NA;1;1;12;2015
"2016-03-21";"2016_12";"abv";NA;NA;1;NA;NA;1;1;12;2016
"2008-03-24";"2008_13";"abv";NA;NA;1;NA;NA;1;1;13;2008
"2009-03-23";"2009_13";"abv";NA;NA;1;NA;NA;1;1;13;2009
"2010-03-29";"2010_13";"abv";2;NA;1;NA;NA;1;1;13;2010
"2011-03-28";"2011_13";"abv";3;NA;1;NA;NA;1;1;13;2011
"2012-03-26";"2012_13";"abv";5;NA;1;NA;NA;1;1;13;2012
"2013-03-25";"2013_13";"abv";5;NA;1;NA;NA;1;1;13;2013
